GB_SE_England GB_SW_Wales GB_SE_Wales GB_Cornwall GB_N_Yorkshire GB_S_Yorkshire GB_Merseyside GB_SC_England GB_NC_England GB_Devon GB_Anglia GB_NW_Wales GB_Northumberland GB_Cumbria GB_Noi_SWscot GB_Lincolnshire GB_S_England GB_NE_Scot GB_NW_Scot GB_Orkney HGDP_biaka_pygmies HGDP_Mandenka HGDP_mozabite HGDP_bedouin HGDP_balochi HGDP_yoruba HGDP_bantu_ne HGDP_palestinian HGDP_druze HGDP_sindhi HGDP_pathan HGDP_han HGDP_hazara HGDP_Burusho HGDP_tujia HGDP_mongola HGDP_hezhen HGDP_oroqen HGDP_yakut NAN_Melanesian HGDP_french HGDP_french_bsq HGDP_italian_n HGDP_cambodians HGDP_sardinian HGDP_papuan HGDP_japanese HGDP_russian HGDP_adygei HGDP_surui HGDP_pima HM3_lwk_kenya HM3_tsi_usa HM3_yri_nigeria BB_armenian BB_bulgarian BB_chechen BB_chuvash BB_croatian BB_cypriot BB_german BB_greek BB_hungarian BB_iranian GB_Ireland BB_italians BB_mordovian BB_norwegian BB_polish BB_romanian BB_spanish BB_syrian BB_turkish BB_ukrainian
GB_SE_England 517.173196022263 159.914891087103 205.339318383391 267.762862845802 294.710548734387 245.182447494394 255.288059266242 538.495272491466 606.210362497535 227.354305374222 572.275120319985 217.062507174152 474.274214502885 548.410012155195 221.929861392016 324.720483174593 203.265434970629 152.81804494059 94.1308978421979 263.554879146843 1.09181390669041 1.80778376771376 5.98249990862349 5.02644636153447 4.87033106318372 1.75512970704743 1.63407695455654 5.5130593723926 5.78269272956707 4.74337002122953 5.09854907968353 2.34562147740842 4.33471816127352 4.47425039352616 2.3147206265128 2.83049220241011 2.55431217528416 2.5447034732437 3.12169378096626 2.30815974476913 35.6316464923497 34.8665761437239 24.5058436719069 2.36622472724468 27.3150296858533 2.24935583940695 2.28649679064435 29.8396934432357 6.12391257778489 2.58132528063106 3.13973954603351 1.7454393817245 29.0294132406033 1.62527389524032 5.96601091020537 27.6730060553393 6.29561988584975 7.29497831403957 29.6824405680624 6.21722462254474 39.7811954253153 25.8668099492284 30.5059075855252 5.59129155320968 16.5953185098179 21.2124984750905 23.2610507415284 28.4140569801517 26.708225534942 24.7270160225153 31.8028146907605 5.45417797923422 5.86206288831989 29.6453055745063
GB_SW_Wales 347.689587259375 917.449795450111 272.845688211567 248.104069650039 244.916986685718 196.603102765025 229.737118056911 515.28004287567 494.332103969861 205.550070117106 450.460952404562 406.444880508639 406.040411829633 465.919214938149 204.517450659372 267.581969246453 168.525451281643 136.547129785081 95.7352675086395 233.303781975388 0.629820875576877 1.09513902731825 4.48453773531453 3.83223594295852 4.04806177154152 0.924651964083827 0.967255686935203 4.02552528851885 4.38612237604875 3.66301300029751 4.55047826371406 1.8678827879293 3.26759797686869 3.9629875855159 1.99023086231817 2.23611268542201 2.01470168271718 1.91635196749715 2.31448674744596 1.78514045004147 30.1625612007131 30.7777178267509 20.7276743823365 2.11958866809151 23.7109249392533 1.89735959349403 1.85992749047973 25.1852144983915 4.71678413039008 2.2220690350541 2.58351556838879 0.953349282007191 23.7277431599351 0.965151376743843 4.88758497897782 22.3296782023719 5.23568272429606 5.90383855987889 24.2646635307229 4.97087686687586 31.1409822377622 20.8695498027996 24.8642304836561 4.45299291260589 18.1563601627848 17.033879461772 19.1621553173242 24.6272255137504 20.6172574774744 19.8049312553384 27.7098740546003 4.29404266500353 4.66323022745726 23.7241002615884
GB_SE_Wales 416.659522217069 221.296954904582 270.647234602086 263.566042536454 286.461530507384 245.395248345902 269.668011637251 588.719176565625 605.027101539576 220.138595826141 528.849473966124 291.669243773595 453.04938094001 536.41874057714 212.512432505594 320.292420934376 195.502471962928 151.004961430696 93.879902885085 254.068627412791 0.852017048181877 1.58935199790922 5.67554362693926 4.74665775241796 4.61403279122801 1.31458510274594 1.53392064420783 5.12762364128626 5.65808058005349 4.39331277765567 5.12896482383568 2.17085046811468 3.89936188198538 4.50237849673504 2.2124531906879 2.66744570010147 2.2832251167173 2.40617616410128 2.72182894660863 2.05244478143887 34.9256772725099 33.5405600067412 23.1465467130241 2.13220642313799 26.6180922346773 2.05670753729407 2.26782849024637 29.1775563390544 5.73346938175332 2.62363456347825 2.96687517894949 1.3642472128716 26.9724822671992 1.29823723778642 5.50556263418984 25.8147358714086 5.56251187139103 6.73386368975077 28.931163983593 5.61064987085517 37.1811664875847 23.9027644776376 29.2703150627195 5.50000592314109 15.9741750632388 19.5607809407444 22.3469703447932 28.3380083593226 24.9684582599996 23.5500344809144 29.9194442910112 4.91241574821077 5.75461786214191 27.3310310213408
GB_Cornwall 389.306610925745 165.479894501641 192.370488101192 757.593442968223 263.704396556501 213.771088465012 226.391800331284 492.557009016539 530.928581528124 305.247956615778 501.32571382388 210.724536338414 440.492480446996 511.572016451356 212.03466783 296.797394725947 192.62308112241 179.042778851139 94.9388843110393 254.551510546238 0.850110432551448 1.36456629697568 5.90873499974414 4.62800443820947 4.5375576259765 1.22428088450218 1.27047904305641 4.85996586182276 5.15050558561171 4.37817653440289 4.56592831295971 2.18260302374006 4.05165910711411 4.25522741992395 2.19450158605911 2.50552825410075 2.47421376858581 2.32610039517032 2.70288192194729 2.12458617286095 35.6686381409943 34.4995252184474 23.252437616588 2.14104725210821 26.9005324593532 2.10915540912968 2.12876177841983 28.9134304864935 5.54397260425989 2.42470434593664 2.84251793761193 1.21897275463652 26.9876876080349 1.30597957782043 5.72607944264363 25.6211042692634 5.80244093293609 6.67305624070415 28.4480487901713 5.91254104012094 35.9941774154469 23.5700217333827 27.386825161429 5.15364165783564 17.1896572776999 19.8184344510777 21.5457367021199 26.9878703711098 23.8221968128873 21.7169959700255 31.6724679335163 5.0456077114993 5.41068228449671 27.425233195103
GB_SC_England 436.750156498146 178.765349957625 234.344330128123 278.012202576813 290.33708387384 240.944401814989 254.762373494634 605.315466116527 599.793270187795 237.992620350389 550.781871411069 237.718290500139 463.75339661423 546.635809700252 220.601267845491 322.792641936624 202.084596642489 148.715066371449 93.6711828348241 260.691073775455 1.05849136013508 1.64020809206199 5.8665717088279 4.9505403497377 4.70828416402384 1.56862628265034 1.48909519242875 4.96054326298007 5.62438621963204 4.53287499381161 4.83840567487818 2.2643854291425 4.14986620510997 4.53666098342354 2.33798501304451 2.75537591650653 2.42336154004144 2.50904017907637 2.94998351526267 2.13927414840851 35.6389608571282 33.6776995124007 23.8634799401576 2.33472717325494 26.5651923137874 2.16350865061114 2.21264632562167 30.2225006112729 6.02149201721482 2.49911275684803 2.97192297567023 1.49258157266242 28.1764669456698 1.43300717402892 5.6514461734332 26.8992333772465 6.41471129193614 7.27694454341887 29.7340656209965 5.94417049985923 39.3343055293674 24.6039175493362 30.5039555373025 5.36456328653505 16.732928551434 20.6004634492858 22.0147220141231 29.1211718126695 26.0287225372328 23.6127807216274 31.6688529577791 5.49804412579466 5.449103052054 28.3763133862302
GB_N_Yorkshire 397.44232192101 150.830306111866 190.227458896668 248.744278441773 389.796224821377 291.714424469669 268.671337394744 487.422038756356 593.43706512006 210.35324458967 540.94142082043 210.219315978344 534.864631506088 623.5560322986 234.141495955867 336.241533711124 185.536990192404 157.624621980687 100.262698864858 268.850914487457 0.998528284800468 1.59770144574165 6.07749987198627 4.81213012137563 4.59434820468414 1.43858882193128 1.45484491447827 4.87415759152345 5.38031232950748 4.66866215756071 4.74502053615139 2.23783463313194 4.0163281373503 4.45898197041853 2.22993562245169 2.73409170646908 2.42202376702835 2.58110522744963 2.97268438333589 2.13574252333121 34.716063479064 32.2619335226124 22.6792496469283 2.30193879973899 26.3951780889141 2.12204942788636 2.29473352082896 29.483523283373 5.72606287106204 2.480926215018 2.93003668817809 1.37801550519317 26.8608480585708 1.3739083041638 5.6647052364402 26.7959233730526 5.71333307451283 6.97784817069585 28.9225270790781 5.86407118043371 37.1418888532141 24.8027878181126 28.7395380580441 5.22955273032042 16.6796930145995 20.2824749614449 22.4963882291447 28.0570563291015 25.4524392057705 23.2116654639742 30.4762388071706 5.38215063025611 5.45635283541831 28.2101466739977
GB_Devon 419.643618952247 171.36837868038 201.684168172041 390.931907651324 284.227985834338 231.373683516444 240.753069178397 528.588901613083 576.74467410677 362.047292835256 537.562796696288 221.118120296474 453.648451521029 537.302036564864 215.70177907746 315.33050700067 216.147150442735 149.204268278152 93.8549362052248 258.302201334667 0.989517207335431 1.54502788829795 6.42519869848325 5.00805950689197 4.58732772409602 1.3802465250741 1.38192048411716 5.20868303097586 5.71351616054078 4.65497973302921 5.18391714255693 2.3060536218364 4.20068732647385 4.56889323377544 2.35019281648094 2.98358352875053 2.48229701016427 2.59222409382606 3.19841190311894 2.26554915664776 34.9880123956915 34.4534749552547 23.1337901632359 2.41540740791181 27.397007572982 2.23453077536143 2.17092864337688 29.971336267713 5.79421406115722 2.5370036566819 3.03478891322062 1.46122319338394 28.5255547069741 1.48833866033701 5.80336641641595 26.7854191878807 5.78819949330718 6.66409599308007 30.1253990164508 5.8502778315616 38.6543948442949 25.7117249427767 29.1677446166675 5.53465692561014 15.7095809781816 20.6260651852766 22.2485116683356 29.2597624501992 24.8489746830959 23.4363014872338 31.5306181073717 5.19088472654927 5.75741029250333 29.0089127356867
GB_S_Yorkshire 405.454694616907 149.664772956691 197.69757460228 248.435131662981 347.414114541243 363.228936434406 303.081923648137 492.576098443765 641.911452294629 207.061575204933 539.765562080113 217.386295077151 486.195292179275 584.997594419077 219.837501896316 350.537331950113 184.482156000002 148.780413430338 94.1582323764637 255.919213415831 1.06224778278686 1.66120120093361 5.61358024722201 5.13871325927277 4.38925842005927 1.72820258012058 1.47499678990698 4.75699154315972 5.2182465480868 4.15923999109439 4.82053873835839 2.1807305513024 3.9304503369809 4.39098876824358 2.23083135718725 2.63888610262429 2.32425794665604 2.51628146142342 2.84575033708724 2.02364927533319 33.5253853883266 30.5004358100079 22.3574287626675 2.24234903869543 25.1974234881452 2.03171441290058 2.34570547622844 29.8164821304465 5.61996059646602 2.52204426298507 2.89811747268329 1.41344839552577 26.6645846328813 1.55634892972613 5.14804429652389 25.9449711746825 5.75083607682164 6.83199391441709 28.8929600119442 5.56677849049701 36.9205831415466 22.562109635481 28.0442715506003 5.02014787110658 16.3566620408449 19.1935281341379 21.4733382390732 27.857428853575 24.6092612535237 22.0155142058512 29.1406050220224 5.20481512760902 5.44212349188431 27.5118159077559
GB_Anglia 425.04287568133 151.601698259357 195.737559295862 261.940190843257 297.159349003644 244.607358991564 247.34483876374 508.388921553807 593.747292330779 221.78100338406 758.305385166467 208.690308046962 470.175550876891 545.740518230405 218.111330837101 325.374658510695 192.520072220675 150.377642346814 92.9817416125689 261.472202973422 1.28741363481214 2.02440705866798 6.71241924470364 5.33481973123619 4.95704473919474 1.80062141596635 1.91383664040911 5.55051629545177 6.04916651284593 4.91034186006474 5.1586943499268 2.39715331702196 4.46156377108044 4.88155538305535 2.59564211861163 2.89767184922154 2.59000428901819 2.73033238294872 3.19330359912635 2.34670589250754 36.1395766656822 34.4589157507706 24.5218852586891 2.46281373401247 27.8440654251673 2.22796406161207 2.44251747365219 32.6003827312805 6.24937851567505 2.64266773141788 3.1432448089407 1.7668955884182 29.420868411419 1.74922239389374 6.29514859196794 28.6117644727057 6.54019566643189 7.41024315896208 31.3642558642898 6.33617784346866 40.2986458089771 26.7650015012239 30.6808358302126 5.72734896161979 16.1958048329747 21.6682165885404 23.3066895849893 30.2918292194905 27.6163804203522 24.9563578809608 33.1507270879724 5.50698295241268 6.05432383964194 30.5290860329789
GB_NW_Wales 315.063291038382 286.290793110322 232.60633233109 214.625216977158 224.705334447294 193.076281526948 269.957964771622 446.136489506531 474.630219456644 173.822892928779 408.159622604663 1484.4740713215 382.825779251265 439.41396593025 187.192233898219 246.969152472785 153.030580262423 126.077154544759 89.6736272453466 220.579159467796 0.601638983050819 0.960903938096128 4.31882735716722 3.51757908106448 3.36199943185025 0.828161819794514 0.919695871811316 3.65680165521682 4.29669599148656 3.39380783790119 3.74080579000791 1.68237195302047 3.15270196660617 3.39913552641863 1.73194422089975 1.88663784122501 1.75427573114857 1.66926009316945 2.30113034853434 1.62187512653701 27.8635041980424 27.4094977738044 18.1418751077817 1.83936780966817 20.9775229288204 1.56934419703572 1.66646703593896 21.3494182736107 4.36899782092157 1.90801851259479 2.38117236732064 0.84215169842373 21.0762497554133 0.853388017188909 4.24233145458351 20.00757791381 4.62564024237182 5.20008978703165 21.3379619575133 4.37587933227382 26.9946691001639 18.3858697939803 21.944363159043 4.06256796175147 16.1093308011653 15.2563423282444 16.9854566909776 21.4082357818217 18.6347913475112 18.3777433135706 24.3721909050781 3.95469416441505 3.98665964846237 21.2543428669592
