Recipient GB_SE_England GB_SW_Wales GB_SE_Wales GB_Cornwall GB_N_Yorkshire GB_S_Yorkshire GB_Merseyside GB_SC_England GB_NC_England GB_Devon GB_Anglia GB_NW_Wales GB_Northumberland GB_Cumbria GB_Noi_SWscot GB_Lincolnshire GB_S_England GB_NE_Scot GB_NW_Scot GB_Orkney HGDP_biaka_pygmies HGDP_Mandenka HGDP_mozabite HGDP_bedouin HGDP_balochi HGDP_yoruba HGDP_bantu_ne HGDP_palestinian HGDP_druze HGDP_sindhi HGDP_pathan HGDP_han HGDP_hazara HGDP_Burusho HGDP_tujia HGDP_mongola HGDP_hezhen HGDP_oroqen HGDP_yakut NAN_Melanesian HGDP_french HGDP_french_bsq HGDP_italian_n HGDP_cambodians HGDP_sardinian HGDP_papuan HGDP_japanese HGDP_russian HGDP_adygei HGDP_surui HGDP_pima HM3_lwk_kenya HM3_tsi_usa HM3_yri_nigeria BB_armenian BB_bulgarian BB_chechen BB_chuvash BB_croatian BB_cypriot BB_german BB_greek BB_hungarian BB_iranian GB_Ireland BB_italians BB_mordovian BB_norwegian BB_polish BB_romanian BB_spanish BB_syrian BB_turkish BB_ukrainian 
SBB13_SBB13 248.268 98.48 120.277 170.6 189.113 139.913 151.735 309.874 349.436 136.36 333.424 133.128 295.48 336.327 135.59 191.813 114.781 91.9814 61.1838 173.906 9.88581 10.8347 9.96189 11.1624 19.5596 11.339 10.698 10.1759 11.8806 29.9906 30.7883 235.46 79.9189 38.2808 210.925 170.449 171.082 163.073 111.05 430.261 29.8861 26.0026 22.7817 224.853 27.9639 169.658 206.082 60.3679 18.0743 64.2226 77.6553 12.0995 32.653 11.3239 12.1292 33.7187 14.9594 34.3646 32.27 13.2788 28.7131 34.1917 30.596 17.6224 11.3052 26.8995 48.2586 21.5397 26.7403 34.7537 27.2765 10.3479 22.7583 38.0754 
SR4_SR4 269.809 100.877 113.839 173.868 184.949 141.391 151.256 321.161 377.166 141.203 349.903 141.542 298.245 333.428 146.951 194.425 121.01 94.9466 62.4666 173.043 11.131 13.112 8.98324 12.012 25.4736 11.6133 10.6387 13.0823 9.48138 29.412 28.4965 211.247 71.4732 41.1377 179.563 159.697 159.564 139.759 109.51 432.392 30.7049 27.4852 25.0137 211.593 29.5656 177.104 173.524 62.0209 15.8819 80.8408 89.9495 9.22941 31.4503 11.3998 11.2602 37.1472 14.6803 30.6065 30.2469 12.3567 29.8915 35.6065 35.3501 16.0074 10.4506 29.9938 47.1897 22.1485 28.6339 32.9997 27.7763 10.6492 17.9763 35.8794 
SBB9_SBB9 257.931 102.395 118.469 169.005 186.549 142.949 146.154 319.466 358.468 142.582 344.314 142.325 285.739 341.378 145.094 196.793 120.877 108.06 57.0621 178.561 9.76058 10.1265 9.9534 10.4988 21.0406 12.827 9.90617 11.9198 12.4527 27.1824 27.4718 220.41 84.6856 45.5358 205.669 170.336 171.574 161.618 104.438 362.286 25.2556 26.2821 23.0089 232.629 28.9147 170.037 199.778 61.6262 20.5913 73.7986 91.5233 10.0154 29.2527 10.7534 12.6066 35.7123 13.4843 31.7252 30.8534 8.77206 27.0483 36.186 35.8801 16.2616 12.8255 28.1567 42.5331 19.9173 24.6363 30.5118 26.7776 14.3232 17.8628 38.4669 
SBB12_SBB12 247.506 94.4911 115.422 160.74 174.211 135.503 149.583 304.246 348.035 134.981 329.973 134.453 269.116 326.146 133.083 184.739 106.584 93.1245 59.7145 167.72 10.6062 10.4991 10.5126 13.5037 21.6943 11.1727 11.4091 11.3594 10.4361 31.2136 28.065 231.158 91.0734 46.436 217.072 179.952 186.14 149.104 118.535 468.318 25.7498 26.225 22.7934 234.249 30.8919 187.039 186.543 57.7883 17.529 85.4172 97.4744 14.059 29.5003 14.7378 11.8291 36.2335 14.3345 29.9275 28.9562 10.9637 28.6354 36.7531 32.7113 16.1516 10.8528 26.0643 43.5395 21.5336 27.908 33.5716 27.0089 13.9056 18.9738 34.3888 
SBB14_SBB14 240.098 90.3758 111.845 162.444 171.443 132.379 138.632 291.464 342.107 134.784 326.713 128.755 273.182 331.175 130.122 187.98 111.207 96.4894 58.9632 168.963 25.6767 32.3967 12.7043 11.1793 20.4358 36.4098 22.6097 14.2869 11.0496 34.8472 27.6709 229.372 84.688 49.8377 213.256 177.234 181.664 164.437 117.988 424.531 28.6231 25.7827 23.1163 232.108 29.1329 171.01 209.467 56.2307 18.5669 73.0484 91.513 20.6093 26.159 32.7403 13.0519 32.3912 14.5758 35.8685 30.1042 9.8774 27.4979 34.0167 32.926 20.0041 10.6611 28.1497 42.7969 21.4791 21.8936 30.6673 27.3719 13.1159 21.6295 34.2904 
SR6_SR6 242.681 101.933 115.578 159.641 168.638 138.256 150.436 299.632 336.03 130.404 328.571 141.284 271.61 326.578 133.086 186.985 111.159 93.7324 57.822 166.636 10.9677 12.512 9.64317 11.6723 19.1389 11.4519 9.71934 12.6671 11.7242 35.5209 31.2589 233.992 85.6813 44.3703 244.183 161.739 188.45 154.862 108.278 454.068 25.2489 26.8813 23.6421 241.808 31.3088 185.12 223.998 59.3041 18.8354 68.9227 78.4791 11.0876 28.3172 12.4785 14.6379 34.9425 12.9704 33.4613 30.352 10.0648 26.8011 35.1396 35.0581 19.7633 11.1919 26.9478 49.7241 19.7164 24.4369 33.9796 28.5505 11.5508 19.3986 35.1571 
SBB1_SBB1 242.092 90.8922 120.106 158.912 170.906 135.855 144.945 295.283 339.676 128.76 321.999 129.929 267.781 321.035 130.047 188.218 112.326 94.6813 59.8797 163.32 8.43499 10.3903 10.1441 9.83862 20.1199 11.7283 11.0131 10.9952 10.1403 31.2891 26.128 269.452 99.415 49.3332 263.715 195.252 203.568 191.513 141.305 299.05 26.3911 25.943 24.1054 257.888 26.5652 132.583 241.372 59.0087 18.5199 75.2734 100.286 9.76232 28.4742 10.4211 11.4011 37.4722 14.1439 38.6173 31.7117 11.3654 27.7008 35.8032 35.1212 18.6695 11.3209 29.0755 54.8182 21.3441 27.6071 34.2976 28.1873 10.8128 22.8356 33.5004 
SR9_SR9 259.214 106.859 125.73 171.903 181.249 142.354 149.045 322.16 373.744 137.676 356.488 140.169 296.996 340.688 145.091 195.632 117.348 101.706 63.2775 182.208 9.44819 11.6886 11.7995 9.38856 19.6618 10.8863 10.376 8.55539 10.7678 26.9594 25.3505 210.012 82.0147 43.7448 187.84 183.042 149.495 143.268 101.896 439.835 28.4992 31.1205 26.5097 222.842 30.2504 150.343 178.664 59.5314 19.2378 66.0118 80.3697 10.3319 30.9063 11.4917 9.49442 34.2575 15.3723 31.2893 28.4555 11.1898 29.7223 35.1734 31.4516 17.8462 11.5875 30.4433 46.9023 20.335 25.3366 32.5962 30.3101 10.6615 19.8674 37.8993 
ST10_ST10 275.61 106.436 129.873 178.87 195.571 154.456 151.078 325.631 384.328 153.652 375.569 148.34 307.192 356.821 145.783 209.101 120.745 102.63 70.9677 178.189 16.438 29.4965 11.4361 10.5776 18.5625 17.2289 23.998 12.2326 9.7634 22.5303 26.0325 192.874 76.7276 37.3773 186.732 158.7 157.19 135.129 101.181 317.294 29.1243 29.8904 26.4868 205.456 32.6591 148.912 168.745 51.8941 16.6367 57.934 67.5467 20.7903 32.0488 25.2704 11.291 36.1424 12.9414 26.781 35.5892 10.3692 31.4732 35.3414 32.0076 20.2772 11.8873 30.1568 47.1821 22.6827 24.5237 36.0144 26.3906 11.0578 17.2638 36.7586 
SBB3_SBB3 307.905 125.426 145.953 209.434 199.119 174.359 163.692 388.502 423.159 170.197 407.91 173.811 333.772 393.193 160.136 230.136 143.616 113.98 72.8234 197.258 13.8968 23.8331 13.5622 10.1931 14.5838 23.3443 25.0108 12.6146 11.7487 23.1098 18.0074 170.16 64.2391 30.1083 140.681 114.752 112.36 110.585 75.6741 219.102 35.9065 31.6423 27.1052 179.936 31.1471 87.6472 135.81 48.1134 16.9561 42.3521 61.6742 36.196 33.4367 19.5941 9.0608 35.1125 11.1317 20.9327 36.055 9.7024 31.0561 37.4764 36.1663 12.7214 16.0826 33.5248 42.0168 23.4588 28.8908 32.8199 34.3552 10.9435 17.7081 33.1901 
